TIME,Roll (deg),Pitch (deg),Yaw (deg),,Adjusted time,Pitch with first 40sec neglected
325.839997,6.482234731,22.82914559,11.06609473,,34.880466,18.29522724
325.859891,6.494042473,22.97106308,10.86800736,,34.89953,18.41136987
325.879843,6.50912107,23.11179665,10.66695939,,34.919623,18.53413457
325.899875,6.558103299,23.25468924,10.42915482,,34.942723,18.60185941
325.91933,6.607700505,23.39356141,10.19604795,,34.961889,18.65540944
325.94111,6.645780634,23.51756494,9.914329812,,34.980752,18.60043267
325.959937,6.678046272,23.62358061,9.670032835,,34.999862,18.53432745
325.979545,6.646991957,23.6441463,9.348737072,,35.019443,18.42458669
325.999357,6.611581769,23.6593221,9.019928186,,35.040345,18.30438216
326.019517,6.533502418,23.57872132,8.641876815,,35.062139,18.11952978
326.039652,6.453591715,23.4938162,8.262300974,,35.080838,17.95907843
326.059637,6.302506109,23.35202184,7.855095197,,35.099497,17.78142987
326.079684,6.147537031,23.20705077,7.445176989,,35.119483,17.59001786
326.099713,5.919667169,23.10420312,7.032473107,,35.142645,17.48137445
326.119407,5.691933635,23.00518854,6.626513329,,35.162042,17.3948742
326.14119,5.429433465,22.93863677,6.216606517,,35.180611,17.30631382
326.159903,5.203475604,22.88330015,5.866141263,,35.199807,17.21439118
326.179848,4.984249956,22.86086046,5.500728625,,35.219846,17.14333798
326.199417,4.770413712,22.84096872,5.142677241,,35.240069,17.07283772
326.219301,4.552392204,22.82584492,4.771363402,,35.262073,16.96526493
326.239704,4.328641643,22.8105892,4.3899704,,35.280571,16.87383551
326.259762,4.16658025,22.7956169,4.03004589,,35.299499,16.76845293
326.279829,4.006815117,22.78063892,3.67057434,,35.319592,16.6560474
326.299782,3.885047277,22.78957939,3.343910037,,35.340333,16.52045904
326.319482,3.766464849,22.79946126,3.022749293,,35.364798,16.35925763
326.341071,3.588436147,22.93119589,2.707526582,,35.381019,16.14456105
326.359669,3.432903876,23.05013233,2.437632348,,35.39981,15.88400468
326.379701,3.164972796,23.26779994,2.183826753,,35.419535,15.62622965
326.399392,2.893365859,23.4891093,1.937368606,,35.440027,15.35931316
